config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash08R01_12	250.0000	217.3691	0.010000	0.176778	0.0531	0.6891	2.79000	6.32943e-07	100000.000	2.72671
foilsflash08R01_11	250.0000	250.0000	0.429212	0.010000	0.9500	0.5875	2.94000	6.26633e-07	100000.000	2.87734
foilsflash08R01_15	250.0000	50.0000	0.010000	0.427797	0.9500	0.9500	3.18000	6.90822e-07	100000.000	3.11092
foilsflash08R01_13	128.5534	84.2844	0.010000	0.173268	0.6632	0.0000	3.69000	1.08299e-06	100000.000	3.58170
foilsflash08R01_18	117.2717	250.0000	0.010000	0.010000	0.0000	0.0000	3.35000	7.21179e-07	100000.000	3.27788
foilsflash08R01_17	50.0000	250.0000	0.010000	0.454009	0.0000	0.9500	2.89000	6.80845e-07	100000.000	2.82192
foilsflash08R01_16	78.2837	95.3440	0.010000	0.159410	0.6360	0.4497	3.64000	7.60469e-07	100000.000	3.56395
foilsflash08R01_19	50.0000	250.0000	0.559657	0.010000	0.9500	0.6950	3.09000	6.44891e-07	100000.000	3.02551
foilsflashSOBX01	112.4760	109.9162	0.063100	0.144736	0.1778	0.0000	3.90000	1.08064e-06	100000.000	3.79194
foilsflash09R00_03	250.0000	96.7123	1.000000	0.177238	0.9500	0.6924	3.26000	7.00652e-07	100000.000	3.18993
foilsflash09R00_04	136.2548	115.9453	0.010000	0.163432	0.0142	0.0885	3.82000	1.04166e-06	100000.000	3.71583
foilsflash09R00_00	89.2856	121.6676	0.010000	0.163405	0.1485	0.0000	3.81000	1.04131e-06	100000.000	3.70587
foilsflash09R00_05	210.2904	250.0000	0.461750	0.557739	0.9500	0.7875	2.07000	6.19570e-07	100000.000	2.00804
foilsflash09R00_01	82.4556	129.2121	0.010000	0.121295	0.1259	0.1126	3.78000	8.60545e-07	100000.000	3.69395
foilsflash09R00_07	239.6065	111.9614	0.010000	0.105935	0.0000	0.5159	3.58000	7.12218e-07	100000.000	3.50878
foilsflash09R00_06	229.9745	107.4120	0.010000	0.154851	0.2582	0.8006	3.38000	6.71276e-07	100000.000	3.31287
foilsflash09R00_08	190.5568	99.7201	0.010000	0.143389	0.0932	0.6767	3.53000	6.79139e-07	100000.000	3.46209
foilsflash09R00_09	179.0993	116.6222	0.010000	0.131784	0.8508	0.5465	3.55000	6.67782e-07	100000.000	3.48322
foilsflash09R00_02	250.0000	108.5235	0.010000	0.141644	0.9500	0.3981	3.66000	7.42515e-07	100000.000	3.58575
foilsflash10R00_02	250.0000	183.2853	0.720386	0.002000	0.9500	0.6660	2.95000	6.63119e-07	100000.000	2.88369
foilsflash10R00_00	169.7611	108.8837	0.002000	0.140646	0.2136	0.0473	3.78000	9.92809e-07	100000.000	3.68072
foilsflash10R00_03	50.0000	125.3995	0.002000	0.002000	0.3113	0.2397	3.15000	6.28613e-07	100000.000	3.08714
foilsflash10R00_04	250.0000	139.0059	1.000000	0.292234	0.9500	0.9500	2.92000	6.41932e-07	100000.000	2.85581
foilsflash10R00_05	209.9961	157.5411	0.002000	0.212565	0.9500	0.8012	3.05000	6.57811e-07	100000.000	2.98422
foilsflash11R00_03	197.9115	187.8108	0.002000	1.000000	0.9500	0.7905	2.11000	6.37345e-07	100000.000	2.04627
foilsflash11R00_05	250.0000	187.3596	0.554517	1.000000	0.9500	0.7564	1.94000	6.32611e-07	100000.000	1.87674
foilsflash10R00_07	51.7630	108.2596	0.002000	0.137010	0.4834	0.7029	3.46000	6.61930e-07	100000.000	3.39381
foilsflash10R00_06	58.0067	93.2331	0.002000	0.243892	0.3383	0.9500	3.23000	6.34786e-07	100000.000	3.16652
foilsflash11R00_02	77.3072	128.8825	0.002000	0.002000	0.3173	0.2447	3.16000	6.73128e-07	100000.000	3.09269
foilsflash11R00_00	151.4903	102.6025	0.002000	0.144128	0.2172	0.0395	3.77000	9.89929e-07	100000.000	3.67101
foilsflash11R00_01	166.0700	114.7187	0.002000	0.115207	0.1782	0.1660	3.75000	8.71445e-07	100000.000	3.66286
foilsflash11R00_04	250.0000	166.7232	0.524543	0.503643	0.9500	0.8342	2.57000	6.44846e-07	100000.000	2.50552
foilsflash11R00_07	50.9169	126.4591	0.002000	0.146096	0.8927	0.7916	3.31000	6.25946e-07	100000.000	3.24741
foilsflash11R00_06	85.9666	108.9398	0.002002	0.092662	0.2453	0.1516	3.72000	8.36521e-07	100000.000	3.63635
foilsflash11R00_08	64.7031	113.4353	0.002000	0.046162	0.1600	0.3220	3.51000	6.69143e-07	100000.000	3.44309
foilsflash11R00_09	72.6394	100.3158	0.002000	0.237841	0.0000	0.9216	3.27000	6.49349e-07	100000.000	3.20507
foilsflashNC02	50.9169	126.4591	0.002000	0.146096	0.8927	0.7916	3.32000	6.95637e-07	100000.000	3.25044
