config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	zmid	sob	flash_edep	alpha	obj
foilspfbpz04R12_00	61.0702	112.7877	112.2216	0.109250	0.078001	0.060767	0.1095	0.1035	0.0222	117.0216	4.26000	1.20871e-06	100000.000	4.13913
foilspfbpz04R08_01	80.8087	109.2109	117.2015	0.018196	0.060448	0.141407	0.3109	0.0856	0.2130	66.6318	4.29000	1.11042e-06	100000.000	4.17896
foilspfbpz04R06_01	85.2026	111.7367	116.6593	0.031407	0.059389	0.115659	0.8649	0.0840	0.2631	11.2065	4.31000	1.01620e-06	100000.000	4.20838
foilspfbpz04R15_00	35.6310	117.1831	89.1608	0.092353	0.066694	0.095721	0.4012	0.1579	0.2443	137.3229	4.31000	1.02701e-06	100000.000	4.20730
foilspfbpz04R09_00	137.8776	115.6184	98.8796	0.010606	0.045964	0.132298	0.9046	0.0986	0.1445	95.0570	4.25000	1.05517e-06	100000.000	4.14448
foilspfbpz04R10_00	95.6198	84.6205	89.9258	0.015778	0.063027	0.115135	0.4832	0.0856	0.0652	27.2220	4.27000	1.11132e-06	100000.000	4.15887
foilspfbpz04R13_00	62.2294	106.4676	105.6050	0.067124	0.061664	0.109804	0.1523	0.1031	0.1465	95.2781	4.36000	1.09335e-06	100000.000	4.25066
foilspfbpz04R08_00	108.9099	105.5714	91.0381	0.043468	0.062770	0.108196	0.0709	0.1516	0.1083	15.2733	4.37000	1.07178e-06	100000.000	4.26282
foilspfbpz04R06_00	137.8919	113.1494	89.7217	0.013854	0.062517	0.118020	0.8199	0.0669	0.1895	-39.2146	4.32000	1.11804e-06	100000.000	4.20820
foilspfbpz04R14_01	35.9926	117.1997	87.6839	0.026138	0.071316	0.055118	0.1116	0.0649	0.0403	52.9805	4.37000	1.10432e-06	100000.000	4.25957
foilspfbpz04R05_00	30.9854	116.5184	106.6845	0.047478	0.057449	0.116584	0.1867	0.1244	0.1171	36.0794	4.35000	1.05847e-06	100000.000	4.24415
foilspfbpz04R14_00	53.9097	96.6446	113.7352	0.063432	0.075430	0.084168	0.0165	0.1343	0.1105	21.8128	4.34000	1.07827e-06	100000.000	4.23217
foilspfbpz05R00_12	92.0714	108.2313	82.1365	0.045686	0.063865	0.122250	0.7395	0.0506	0.0337	-138.8407	4.29000	1.15288e-06	100000.000	4.17471
foilspfbpz05R00_01	43.6613	105.9477	115.5248	0.030352	0.082762	0.017428	0.7415	0.0671	0.0198	109.9922	4.30000	1.04957e-06	100000.000	4.19504
foilspfbpz05R00_06	93.7966	122.9861	49.0664	0.010457	0.077675	0.120037	0.4512	0.0825	0.2223	-50.5117	4.23000	1.12023e-06	100000.000	4.11798
foilspfbpz05R00_18	57.3000	127.3629	36.1447	0.038500	0.055074	0.111650	0.0458	0.1429	0.0169	-8.1915	4.30000	1.08474e-06	100000.000	4.19153
foilspfbpz05R00_10	69.0614	117.6063	105.7786	0.065355	0.050512	0.119468	0.8507	0.0431	0.3819	52.7757	4.30000	9.44626e-07	100000.000	4.20554
foilspfbpz05R00_15	38.2968	92.1909	125.6000	0.047412	0.049494	0.129194	0.2119	0.0946	0.2242	10.1854	4.30000	1.00001e-06	100000.000	4.20000
foilspfbpz05R00_04	35.2066	108.4076	110.5916	0.027769	0.060309	0.110860	0.1143	0.1632	0.2313	40.9090	4.31000	9.27068e-07	100000.000	4.21729
foilspfbpz05R00_16	43.7080	102.1240	64.2671	0.072663	0.070711	0.135805	0.0514	0.0445	0.1475	-31.5661	4.29000	1.17281e-06	100000.000	4.17272
foilspfbpz05R00_17	64.7073	100.4419	87.9383	0.087200	0.048988	0.086161	0.0064	0.0792	0.0717	111.5816	4.33000	1.08600e-06	100000.000	4.22140
foilspfbpz05R00_05	58.3642	125.4367	76.9292	0.073403	0.056861	0.079200	0.5690	0.1544	0.1034	134.5858	4.32000	1.05294e-06	100000.000	4.21471
foilspfbpz05R00_03	92.0829	103.7044	97.6483	0.022515	0.084618	0.031251	0.0496	0.0731	0.1615	57.7591	4.34000	1.04961e-06	100000.000	4.23504
foilspfbpz05R00_11	51.5679	84.6203	146.4810	0.041612	0.088967	0.024248	0.3658	0.0703	0.1056	29.6217	4.27000	1.07681e-06	100000.000	4.16232
foilspfbpz05R00_02	116.8352	111.8831	96.7286	0.021328	0.072434	0.119665	0.3972	0.1011	0.0045	17.6500	4.34000	1.23293e-06	100000.000	4.21671
foilspfbpz05R00_14	55.4692	99.7698	115.2685	0.028682	0.098401	0.057147	0.4476	0.1301	0.0776	33.6120	4.28000	1.13746e-06	100000.000	4.16625
foilspfbpz05R00_07	75.6953	105.2724	86.2758	0.085582	0.064624	0.124244	0.7085	0.1347	0.0109	35.4760	4.32000	1.15452e-06	100000.000	4.20455
foilspfbpz05R00_08	73.5985	114.9014	84.8277	0.029716	0.075886	0.087862	0.2373	0.0580	0.5354	11.4159	4.30000	9.72268e-07	100000.000	4.20277
foilspfbpz05R00_00	74.8892	103.2667	133.1993	0.012405	0.083928	0.025471	0.1036	0.0035	0.3557	141.0834	4.35000	1.05416e-06	100000.000	4.24458
foilspfbpz05R00_19	131.7996	103.8688	91.5745	0.034750	0.059523	0.125235	0.4203	0.3603	0.0032	-120.0802	4.23000	9.79932e-07	100000.000	4.13201
foilspfbpz05R00_13	57.5433	113.6690	123.9373	0.046895	0.069402	0.081280	0.4983	0.1499	0.1701	86.4420	4.30000	1.03831e-06	100000.000	4.19617
foilspfbpz05R00_09	98.5820	101.4791	96.4722	0.020751	0.057311	0.090469	0.7881	0.1572	0.0613	91.9794	4.31000	1.01757e-06	100000.000	4.20824
foilspfbpz05R02_00	77.5540	119.1739	109.3003	0.010976	0.055531	0.120362	0.0016	0.0127	0.1249	124.2378	4.30000	1.13510e-06	100000.000	4.18649
foilspfbpz05R04_04	36.3760	123.2255	80.3778	0.091889	0.038926	0.135351	0.4343	0.0808	0.0273	-133.9330	4.32000	1.03732e-06	100000.000	4.21627
foilspfbpz05R03_00	77.3699	102.7540	139.0636	0.047607	0.070237	0.073951	0.1545	0.0614	0.1313	117.0533	4.34000	1.07616e-06	100000.000	4.23238
foilspfbpz05R01_00	79.9226	110.3635	94.9948	0.045868	0.066019	0.061047	0.0142	0.0458	0.0105	83.2059	4.41000	1.09528e-06	100000.000	4.30047
foilspfbpz05R04_03	107.2143	120.0082	89.1775	0.054232	0.039489	0.144806	0.0964	0.1497	0.0560	40.6312	4.38000	1.09377e-06	100000.000	4.27062
foilspfbpz05R03_02	111.0402	116.3567	101.9885	0.011107	0.057214	0.067785	0.3857	0.0722	0.1184	117.4404	4.36000	1.00919e-06	100000.000	4.25908
foilspfbpz05R04_02	52.5254	127.1725	92.7436	0.119418	0.031578	0.132772	0.7184	0.0446	0.0498	58.6412	4.27000	1.03728e-06	100000.000	4.16627
foilspfbpz05R05_00	30.9854	116.5184	106.6845	0.047478	0.057449	0.116584	0.1867	0.1244	0.1171	36.0794	4.35000	1.04765e-06	100000.000	4.24523
foilspfbpz05R06_02	33.3742	112.9230	113.2999	0.051965	0.051143	0.111741	0.3369	0.2203	0.0165	7.8812	4.33000	9.73128e-07	100000.000	4.23269
foilspfbpz05R03_01	51.9510	121.0519	71.6843	0.060685	0.057770	0.098169	0.6817	0.0195	0.2706	132.2937	4.36000	1.10834e-06	100000.000	4.24917
foilspfbpz05R07_01	71.8828	123.2277	89.0817	0.025516	0.056595	0.076333	0.3678	0.1465	0.1004	90.5431	4.36000	1.03981e-06	100000.000	4.25602
foilspfbpz05R05_01	30.6280	107.6035	84.0808	0.028157	0.084367	0.060518	0.2078	0.0987	0.2148	106.6861	4.36000	1.09865e-06	100000.000	4.25013
foilspfbpz05R04_01	62.4371	110.1604	79.9841	0.044264	0.060318	0.101279	0.6582	0.0906	0.0080	-57.6409	4.35000	1.06589e-06	100000.000	4.24341
foilspfbpz05R04_00	86.5521	106.2579	91.8811	0.064172	0.053519	0.099483	0.0214	0.0061	0.0300	132.9327	4.39000	1.16778e-06	100000.000	4.27322
foilspfbpz05R06_01	59.7547	117.4496	64.9426	0.040007	0.060135	0.114010	0.6185	0.1599	0.0477	-4.3106	4.35000	1.08674e-06	100000.000	4.24133
foilspfbpz05R08_01	62.2330	105.0626	86.3153	0.073851	0.052128	0.144344	0.8907	0.0201	0.1811	-30.0292	4.35000	1.18442e-06	100000.000	4.23156
foilspfbpz05R06_00	44.9047	102.4645	135.2291	0.010489	0.059166	0.124337	0.3945	0.0020	0.0245	41.6726	4.29000	1.16337e-06	100000.000	4.17366
foilspfbpz05R07_00	48.7906	115.5701	108.4566	0.091271	0.036148	0.116935	0.5777	0.0457	0.0449	62.4115	4.33000	1.06402e-06	100000.000	4.22360
foilspfbpz05R08_00	108.9099	105.5714	91.0381	0.043468	0.062770	0.108196	0.0709	0.1516	0.1083	15.2733	4.38000	1.06822e-06	100000.000	4.27318
foilspfbpz05R09_00	36.9785	113.8190	94.6919	0.091230	0.045534	0.119317	0.6437	0.1524	0.1617	-62.1721	4.33000	9.60943e-07	100000.000	4.23391
foilspfbpz06R00_00	74.8892	103.2667	133.1993	0.012405	0.083928	0.025471	0.1036	0.0035	0.3557	141.0834	4.35000	1.05413e-06	100000.000	4.24459
foilspfbpz06R00_01	92.0829	103.7044	97.6483	0.022515	0.084618	0.031251	0.0496	0.0731	0.1615	57.7591	4.33000	1.05474e-06	100000.000	4.22453
foilspfbpz06R00_16	43.7080	102.1240	64.2671	0.072663	0.070711	0.135805	0.0514	0.0445	0.1475	-31.5661	4.29000	1.18263e-06	100000.000	4.17174
foilspfbpz06R00_05	58.3642	125.4367	76.9292	0.073403	0.056861	0.079200	0.5690	0.1544	0.1034	134.5858	4.33000	1.03147e-06	100000.000	4.22685
foilspfbpz06R00_04	35.2066	108.4076	110.5916	0.027769	0.060309	0.110860	0.1143	0.1632	0.2313	40.9090	4.33000	9.37739e-07	100000.000	4.23623
foilspfbpz06R00_08	73.5985	114.9014	84.8277	0.029716	0.075886	0.087862	0.2373	0.0580	0.5354	11.4159	4.29000	9.72268e-07	100000.000	4.19277
foilspfbpz06R00_11	69.0614	117.6063	105.7786	0.065355	0.050512	0.119468	0.8507	0.0431	0.3819	52.7757	4.30000	9.62641e-07	100000.000	4.20374
foilspfbpz06R00_02	116.8352	111.8831	96.7286	0.021328	0.072434	0.119665	0.3972	0.1011	0.0045	17.6500	4.33000	1.22186e-06	100000.000	4.20781
foilspfbpz06R00_09	43.6613	105.9477	115.5248	0.030352	0.082762	0.017428	0.7415	0.0671	0.0198	109.9922	4.31000	1.06708e-06	100000.000	4.20329
foilspfbpz06R00_07	98.5820	101.4791	96.4722	0.020751	0.057311	0.090469	0.7881	0.1572	0.0613	91.9794	4.31000	1.01758e-06	100000.000	4.20824
foilspfbpz06R00_03	64.7073	100.4419	87.9383	0.087200	0.048988	0.086161	0.0064	0.0792	0.0717	111.5816	4.33000	1.09127e-06	100000.000	4.22087
foilspfbpz06R00_14	68.2827	86.8915	95.7111	0.024654	0.066938	0.135528	0.8049	0.0329	0.4019	3.1901	4.26000	1.07205e-06	100000.000	4.15279
foilspfbpz06R00_15	92.0714	108.2313	82.1365	0.045686	0.063865	0.122250	0.7395	0.0506	0.0337	-138.8407	4.29000	1.14523e-06	100000.000	4.17548
foilspfbpz06R00_18	55.4692	99.7698	115.2685	0.028682	0.098401	0.057147	0.4476	0.1301	0.0776	33.6120	4.29000	1.15588e-06	100000.000	4.17441
foilspfbpz06R00_06	75.6953	105.2724	86.2758	0.085582	0.064624	0.124244	0.7085	0.1347	0.0109	35.4760	4.31000	1.15452e-06	100000.000	4.19455
foilspfbpz06R00_12	38.2968	92.1909	125.6000	0.047412	0.049494	0.129194	0.2119	0.0946	0.2242	10.1854	4.31000	1.00808e-06	100000.000	4.20919
foilspfbpz06R00_17	30.8606	121.7918	92.5750	0.030794	0.048225	0.077429	0.1971	0.2356	0.0740	-13.6835	4.26000	8.39209e-07	100000.000	4.17608
foilspfbpz06R00_10	57.3000	127.3629	36.1447	0.038500	0.055074	0.111650	0.0458	0.1429	0.0169	-8.1915	4.30000	1.07013e-06	100000.000	4.19299
foilspfbpz06R00_19	45.2742	140.7965	81.1014	0.053771	0.045894	0.128275	0.1615	0.0742	0.0249	-52.3168	4.31000	1.06854e-06	100000.000	4.20315
foilspfbpz06R00_13	57.5433	113.6690	123.9373	0.046895	0.069402	0.081280	0.4983	0.1499	0.1701	86.4420	4.30000	1.03341e-06	100000.000	4.19666
foilspfbpz06R01_00	79.9226	110.3635	94.9948	0.045868	0.066019	0.061047	0.0142	0.0458	0.0105	83.2059	4.41000	1.09788e-06	100000.000	4.30021
foilspfbpz06R02_00	122.4166	112.9962	101.6989	0.035116	0.065543	0.088243	0.2722	0.1756	0.0649	99.3025	4.34000	1.00031e-06	100000.000	4.23997
foilspfbpz06R03_01	51.9510	121.0519	71.6843	0.060685	0.057770	0.098169	0.6817	0.0195	0.2706	132.2937	4.36000	1.11170e-06	100000.000	4.24883
foilspfbpz06R03_00	111.0402	116.3567	101.9885	0.011107	0.057214	0.067785	0.3857	0.0722	0.1184	117.4404	4.36000	1.00075e-06	100000.000	4.25993
foilspfbpz06R07_00	71.8828	123.2277	89.0817	0.025516	0.056595	0.076333	0.3678	0.1465	0.1004	90.5431	4.35000	1.02817e-06	100000.000	4.24718
foilspfbpz06R09_00	130.0429	122.6388	67.9156	0.020305	0.039631	0.111082	0.3377	0.1841	0.0285	111.4778	4.20000	1.00093e-06	100000.000	4.09991
foilspfbpz06R10_01	45.7412	93.4181	137.3471	0.073734	0.045328	0.128468	0.6874	0.0095	0.2755	-82.3360	4.29000	9.35190e-07	100000.000	4.19648
foilspfbpz06R06_01	136.1948	106.6865	91.8750	0.026941	0.083605	0.090944	0.0208	0.1921	0.1085	98.1723	4.31000	1.16983e-06	100000.000	4.19302
foilspfbpz06R10_00	72.1878	109.8518	96.4657	0.048749	0.047118	0.119272	0.0321	0.1028	0.0351	-134.6024	4.37000	1.09611e-06	100000.000	4.26039
foilspfbpz06R04_00	86.5521	106.2579	91.8811	0.064172	0.053519	0.099483	0.0214	0.0061	0.0300	132.9327	4.40000	1.16986e-06	100000.000	4.28301
foilspfbpz06R09_01	70.9090	95.9796	112.0386	0.036910	0.050535	0.133680	0.2850	0.1010	0.0072	73.2944	4.33000	1.18168e-06	100000.000	4.21183
foilspfbpz06R08_00	108.9099	105.5714	91.0381	0.043468	0.062770	0.108196	0.0709	0.1516	0.1083	15.2733	4.37000	1.07104e-06	100000.000	4.26290
foilspfbpz06R11_00	112.0512	112.6892	87.3747	0.012785	0.064666	0.122912	0.3940	0.1375	0.0995	7.6530	4.38000	1.05019e-06	100000.000	4.27498
foilspfbpz06R08_02	62.2330	105.0626	86.3153	0.073851	0.052128	0.144344	0.8907	0.0201	0.1811	-30.0292	4.37000	1.18432e-06	100000.000	4.25157
foilspfbpz06R08_03	102.8648	103.3009	90.5483	0.042652	0.055363	0.125275	0.6508	0.0841	0.0314	115.5037	4.35000	1.15659e-06	100000.000	4.23434
foilspfbpz06R06_00	59.7547	117.4496	64.9426	0.040007	0.060135	0.114010	0.6185	0.1599	0.0477	-4.3106	4.34000	1.08674e-06	100000.000	4.23133
foilspfbpz06R08_01	52.1290	112.4139	86.5423	0.043724	0.076656	0.060502	0.1564	0.1442	0.3080	120.2149	4.36000	9.80228e-07	100000.000	4.26198
foilspfbpz06R09_02	36.9785	113.8190	94.6919	0.091230	0.045534	0.119317	0.6437	0.1524	0.1617	-62.1721	4.32000	9.60943e-07	100000.000	4.22391
foilspfbpz06R12_00	106.1624	106.9077	88.7297	0.035972	0.061192	0.118073	0.3400	0.2558	0.0849	103.7514	4.32000	1.06098e-06	100000.000	4.21390
foilspfbpz06R05_00	30.6280	107.6035	84.0808	0.028157	0.084367	0.060518	0.2078	0.0987	0.2148	106.6861	4.36000	1.09831e-06	100000.000	4.25017
foilspfbpz07R00_05	81.7303	107.2330	95.0096	0.083151	0.080053	0.104275	0.5670	0.4040	0.4378	-38.5314	3.93000	6.51064e-07	100000.000	3.86489
foilspfbpz07R00_03	108.7274	103.0690	127.9490	0.045287	0.073102	0.023119	0.2073	0.2065	0.8956	121.4064	4.12000	7.21107e-07	100000.000	4.04789
foilspfbpz07R00_11	96.5421	108.1048	144.6659	0.015114	0.083483	0.074840	0.4319	0.2748	0.3613	-71.4637	4.03000	6.24698e-07	100000.000	3.96753
foilspfbpz07R00_01	41.3497	119.5598	112.1420	0.060212	0.048334	0.085317	0.2380	0.2407	0.4406	-5.8770	4.11000	6.46747e-07	100000.000	4.04533
foilspfbpz07R00_12	58.8510	116.7098	71.7469	0.064968	0.041060	0.083593	0.0293	0.3404	0.4030	-146.9689	3.91000	5.90776e-07	100000.000	3.85092
foilspfbpz07R00_16	71.8314	115.2340	90.0628	0.098125	0.106598	0.054329	0.5541	0.3577	0.4495	74.9252	3.90000	7.03749e-07	100000.000	3.82963
foilspfbpz07R00_10	66.4377	135.4847	52.2924	0.131246	0.035110	0.108459	0.0372	0.3875	0.4575	42.9380	3.91000	7.06362e-07	100000.000	3.83936
foilspfbpz07R00_17	101.1218	121.5904	111.8357	0.052396	0.045780	0.118896	0.0731	0.3874	0.3884	-35.9602	3.97000	5.45801e-07	100000.000	3.91542
foilspfbpz07R00_15	53.4963	83.6759	102.3500	0.032570	0.117500	0.088425	0.4892	0.5050	0.4373	41.5333	3.92000	6.32814e-07	100000.000	3.85672
foilspfbpz07R01_00	49.3560	96.9424	141.6101	0.117989	0.045142	0.091308	0.0398	0.2629	0.6706	87.5464	3.91000	7.04776e-07	100000.000	3.83952
foilspfbpz07R02_00	95.0357	105.5823	89.8803	0.069342	0.071242	0.032986	0.0228	0.3043	0.9323	75.6951	4.01000	6.89305e-07	100000.000	3.94107
foilspfbpz07R04_00	54.4937	99.9584	118.1306	0.093468	0.037939	0.102983	0.0085	0.3884	0.2944	-91.3099	4.03000	6.49299e-07	100000.000	3.96507
foilspfbpz07R03_00	31.9887	123.1116	108.2741	0.115020	0.063080	0.075539	0.3802	0.2985	0.4635	36.2789	4.05000	6.51341e-07	100000.000	3.98487
foilspfbpz07R06_00	39.7317	110.1240	115.8799	0.023436	0.054468	0.092923	0.0976	0.2773	0.3169	-79.5404	4.14000	7.08979e-07	100000.000	4.06910
foilspfbpz07R05_00	55.4748	114.0631	111.6102	0.031081	0.067497	0.035002	0.3283	0.2866	0.3517	68.4426	4.12000	6.41481e-07	100000.000	4.05585
foilspfbpz07R07_00	82.8484	135.5236	106.1971	0.023125	0.052717	0.094956	0.0806	0.2420	0.3183	-71.5135	4.07000	6.84114e-07	100000.000	4.00159
foilspfbpz07R08_00	51.9220	100.9465	103.7563	0.029458	0.057234	0.090935	0.0249	0.2955	0.5351	37.4757	4.08000	6.24293e-07	100000.000	4.01757
foilspfbpz07R09_00	44.0520	103.9822	121.6450	0.035410	0.072005	0.033934	0.3029	0.2306	0.5199	20.5861	4.11000	6.71907e-07	100000.000	4.04281
