config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	sob	flash_edep	alpha	obj
foilspfbpx01R00_16	38.9702	118.9835	37.6271	0.150000	0.050553	0.099419	0.7926	0.7821	0.4827	2.63000	4.17714e-07	100000.000	2.58823
foilspfbpx01R00_12	36.4246	132.2989	53.0504	0.150000	0.070855	0.130157	0.9500	0.7442	0.7236	2.46000	2.55606e-07	100000.000	2.43444
foilspfbpx01R00_19	115.1133	137.3805	62.5011	0.118406	0.054743	0.079556	0.5001	0.8496	0.8274	1.76000	1.22090e-07	100000.000	1.74779
foilspfbpx01R00_14	139.6351	105.9411	30.0000	0.150000	0.076593	0.119517	0.9500	0.3243	0.9500	3.59000	5.89192e-07	100000.000	3.53108
foilspfbpx01R00_11	150.0000	147.5895	119.0798	0.150000	0.010000	0.117252	0.6404	0.8100	0.1597	2.50000	4.07140e-07	100000.000	2.45929
foilspfbpx01R00_09	150.0000	149.6612	150.0000	0.010000	0.067275	0.136872	0.0000	0.0000	0.0000	3.86000	1.20782e-06	100000.000	3.73922
foilspfbpx01R00_17	122.9283	109.8232	30.0000	0.150000	0.010000	0.150000	0.9500	0.7894	0.2761	1.81000	4.80251e-07	100000.000	1.76197
foilspfbpx01R05_03	143.8015	127.9466	118.3772	0.127568	0.100686	0.026494	0.6986	0.7228	0.4722	2.25000	1.71087e-07	100000.000	2.23289
foilspfbpx01R02_00	30.0000	150.0000	30.0000	0.081154	0.081825	0.108696	0.0000	0.0000	0.9500	3.92000	9.51713e-07	100000.000	3.82483
foilspfbpx01R05_02	80.6063	81.2490	105.8938	0.102467	0.134941	0.010000	0.3570	0.7668	0.9281	3.08000	3.73855e-07	100000.000	3.04261
foilspfbpx01R01_00	150.0000	143.3817	30.0000	0.150000	0.010000	0.119425	0.1785	0.7702	0.0240	2.69000	5.99646e-07	100000.000	2.63004
foilspfbpx01R02_01	30.0000	150.0000	66.8397	0.150000	0.065658	0.073429	0.0000	0.0000	0.0000	3.98000	1.09705e-06	100000.000	3.87030
foilspfbpx01R03_01	45.4361	111.3262	136.6098	0.010000	0.069493	0.104312	0.3789	0.0000	0.9500	4.01000	7.60152e-07	100000.000	3.93398
