config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_rIn_up	extra_rIn_dn	sob	calo	alpha	obj
foilsZ07R00_01	250.0000	50.0000	1.000000	1.000000	0.0000	50.0000	0.85400	1.42590e-06	100000.000	0.71141
foilsZ07R00_09	50.0000	250.0000	0.105487	0.050000	50.0000	50.0000	3.49000	1.94176e-05	100000.000	1.54824
foilsZ07R00_02	250.0000	250.0000	0.612656	1.000000	9.7387	11.0023	0.92200	1.31061e-06	100000.000	0.79094
foilsZ07R00_05	250.0000	250.0000	0.284862	0.488892	50.0000	50.0000	1.84000	3.35278e-06	100000.000	1.50472
foilsZ07R00_07	250.0000	250.0000	0.491921	0.773966	39.5985	46.6215	1.20000	1.75587e-06	100000.000	1.02441
foilsZ07R00_04	142.8083	137.5476	0.050000	0.058892	22.3545	27.4153	3.75000	1.94953e-05	100000.000	1.80047
foilsZ07R00_03	250.0000	175.3507	0.340641	1.000000	20.5936	0.0000	1.60000	4.45088e-06	100000.000	1.15491
foilsZ07R00_08	250.0000	250.0000	0.079534	0.216435	50.0000	0.0000	2.85000	1.02123e-05	100000.000	1.82877
foilsZ07R01_01	250.0000	250.0000	0.261514	0.829264	0.0000	0.0000	1.52000	2.70972e-06	100000.000	1.24903
foilsZ07R01_00	246.4142	250.0000	0.206816	0.321195	50.0000	50.0000	2.27000	5.62910e-06	100000.000	1.70709
foilsZ07R01_03	199.6907	250.0000	0.177086	0.233845	50.0000	50.0000	2.62000	8.33366e-06	100000.000	1.78663
foilsZ07R01_05	250.0000	250.0000	1.000000	0.389756	50.0000	50.0000	0.76500	1.19911e-06	100000.000	0.64509
foilsZ07R01_02	250.0000	250.0000	1.000000	0.539843	0.0000	50.0000	0.71600	7.91556e-07	100000.000	0.63684
foilsZ07R01_06	250.0000	50.0000	0.229821	0.537900	50.0000	50.0000	2.53000	1.15930e-05	100000.000	1.37070
foilsZ07R01_08	250.0000	250.0000	1.000000	1.000000	0.0000	0.0000	0.58700	8.26290e-07	100000.000	0.50437
foilsZ07R01_04	250.0000	250.0000	0.145021	0.658934	0.0000	0.0000	1.92000	3.64245e-06	100000.000	1.55576
foilsZ07R01_09	250.0000	250.0000	1.000000	0.564625	50.0000	0.0000	0.70600	8.69154e-07	100000.000	0.61908
foilsZ07R01_07	250.0000	50.0000	0.490134	0.715619	50.0000	50.0000	1.67000	5.93481e-06	100000.000	1.07652
foilsf16R00_03	250.0000	250.0000	0.645551	0.675109	37.7696	0.0000	1.13000	1.38251e-06	100000.000	0.99175
foilsf16R00_02	250.0000	250.0000	0.400293	0.645405	40.3584	0.0000	1.54000	1.91052e-06	100000.000	1.34895
foilsf16R00_01	250.0000	250.0000	0.139472	0.510200	13.5036	0.0000	2.16000	5.32460e-06	100000.000	1.62754
