config	r0	r1	r2	t0	t1	t2	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt6d12R02_06	3.4023	2.9959	2.8108	6.1658	7.0931	3.1067	2.145055e-03	4.132690e+02	1.984703e-09	29	2.145055e-03
pt6d12R02_03	4.1216	3.7459	2.5110	8.0000	6.9407	6.1934	2.175824e-03	4.700274e+02	2.268702e-09	33	2.175824e-03
pt6d12R02_09	3.9777	4.1975	2.4018	7.6728	7.6322	7.6866	2.331492e-03	5.019615e+02	2.431011e-09	34	2.331492e-03
pt6d12R02_05	3.7345	3.3254	2.5974	8.0000	7.2398	6.0717	2.362637e-03	4.561585e+02	2.198720e-09	33	2.362637e-03
pt6d12R02_08	4.5000	3.3912	2.0000	5.7631	8.0000	5.8465	2.228889e-03	4.600368e+02	3.269102e-09	33	2.228889e-03
pt6d12R03_02	3.0913	2.4619	2.0774	4.3158	7.0068	6.1390	2.208889e-03	3.812385e+02	3.264145e-09	32	2.208889e-03
pt6d12R03_00	4.3434	2.0000	3.2350	7.6591	6.5920	7.3843	2.238251e-03	4.028828e+02	2.913639e-09	23	2.238251e-03
pt6d12R03_01	3.4090	3.8844	2.4882	8.0000	8.0000	3.9125	2.259341e-03	4.808610e+02	2.152535e-09	33	2.259341e-03
pt6d12R03_03	4.1732	2.3978	4.0074	7.3570	6.3330	5.5324	2.222951e-03	4.103619e+02	2.125862e-09	21	2.222951e-03
pt6d12R03_09	3.7886	4.1659	2.0000	5.4225	7.8752	6.6951	2.331111e-03	4.840791e+02	3.292962e-09	34	2.331111e-03
pt6d12R03_04	4.4718	4.5000	2.7417	8.0000	6.9314	8.0000	2.345652e-03	5.090760e+02	1.953951e-09	34	2.345652e-03
pt6d12R03_08	2.6319	3.6874	3.0805	6.8176	7.8327	8.0000	2.345355e-03	4.818139e+02	1.648107e-09	33	2.345355e-03
pt6d12R03_06	3.5652	3.3724	3.6490	7.7185	8.0000	8.0000	2.428729e-03	4.880123e+02	1.371510e-09	30	2.428729e-03
pt6d13R00_02	2.9775	3.8924	2.9502	4.8208	7.7883	6.3829	2.220833e-03	4.728196e+02	1.712256e-09	33	2.220833e-03
pt6d13R00_03	4.2137	2.5618	4.2063	5.9253	6.8692	6.7512	2.271111e-03	4.288784e+02	1.803256e-09	23	2.271111e-03
pt6d13R00_05	4.5000	2.4513	4.0507	8.0000	7.0589	8.0000	2.308197e-03	4.462312e+02	1.910954e-09	22	2.308197e-03
pt6d13R00_07	2.5964	2.7169	3.6603	8.0000	6.5980	5.2445	2.241711e-03	4.108856e+02	1.699108e-09	22	2.241711e-03
pt6d13R00_08	4.4780	2.0000	3.9325	4.4124	8.0000	3.3501	2.293478e-03	3.924189e+02	2.872557e-09	21	2.293478e-03
pt6d13R00_09	3.1387	4.4503	3.0183	8.0000	7.7888	5.3927	2.393478e-03	5.064661e+02	1.580261e-09	33	2.393478e-03
pt6d13R01_01	3.4150	3.6010	2.9199	4.1171	7.9496	8.0000	2.243956e-03	4.709757e+02	1.827234e-09	33	2.243956e-03
pt6d13R01_02	3.8446	2.0000	2.6488	3.8857	6.6153	6.3541	2.059893e-03	3.622155e+02	3.214774e-09	25	2.059893e-03
pt6d13R01_03	4.1782	2.1132	3.5096	5.5885	6.4629	7.1215	2.281081e-03	3.947747e+02	2.552685e-09	23	2.281081e-03
pt6d13R01_04	3.8445	4.4809	2.0872	8.0000	6.3361	6.5979	2.301639e-03	4.785038e+02	3.002199e-09	34	2.301639e-03
pt6d13R01_05	3.6723	3.7582	4.2398	8.0000	6.9453	8.0000	2.342541e-03	4.918059e+02	1.082525e-09	29	2.342541e-03
pt6d13R01_06	3.8338	3.9929	3.3946	7.3756	8.0000	8.0000	2.214208e-03	5.105432e+02	1.405208e-09	33	2.214208e-03
pt6d13R01_08	3.5545	4.2628	4.1335	8.0000	7.3822	8.0000	2.298378e-03	5.171456e+02	1.023773e-09	32	2.298378e-03
pt6d13R02_00	4.5000	2.0448	4.5000	4.5512	8.0000	5.9545	2.220765e-03	4.163082e+02	2.386640e-09	21	2.220765e-03
pt6d13R02_02	3.4379	2.2656	3.7376	7.8140	6.7314	4.4870	2.061538e-03	3.979893e+02	2.332124e-09	20	2.061538e-03
pt6d13R02_04	3.6015	2.9870	2.0000	8.0000	7.4278	6.5540	2.259341e-03	4.386571e+02	3.307768e-09	33	2.259341e-03
pt6d13R02_03	4.5000	2.5076	3.7889	5.8886	8.0000	7.7723	2.167956e-03	4.475241e+02	1.888474e-09	24	2.167956e-03
pt6d13R02_06	4.5000	4.5000	2.0000	5.9896	8.0000	7.3900	2.325683e-03	5.096873e+02	3.298107e-09	34	2.325683e-03
pt6d13R02_09	3.5345	3.7455	2.0000	8.0000	6.2971	8.0000	2.281319e-03	4.543984e+02	3.297024e-09	34	2.281319e-03
pt6d13R02_08	4.5000	2.1128	3.7104	6.1645	6.2142	7.9276	2.188889e-03	4.039236e+02	2.491899e-09	23	2.188889e-03
pt6d13R02_05	2.6845	4.1932	3.8643	8.0000	7.9677	6.6295	2.328889e-03	5.094591e+02	1.097444e-09	32	2.328889e-03
pt6d13R03_02	3.8244	4.5000	3.5210	7.4714	8.0000	4.9204	2.280663e-03	5.174450e+02	1.232532e-09	33	2.280663e-03
pt6d13R03_03	2.7530	4.0896	2.1438	5.7169	7.3301	6.6031	2.340331e-03	4.660788e+02	2.888863e-09	34	2.340331e-03
pt6d13R03_04	4.5000	3.2061	3.5786	5.5012	8.0000	5.8150	2.337968e-03	4.654546e+02	1.553757e-09	27	2.337968e-03
pt6d13R03_00	3.3501	2.8514	2.5475	4.7675	6.8940	8.0000	2.172678e-03	4.172451e+02	2.383327e-09	33	2.172678e-03
pt6d13R03_05	3.8700	3.5320	4.2952	5.1407	6.2579	4.2442	2.141304e-03	4.237298e+02	1.213425e-09	23	2.141304e-03
