config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsf01R01_05	250.0000	250.0000	0.676232	0.561617	0.0860	0.0860	1.07000	1.46989e-06	100000.000	0.92301
foilsf01R01_04	140.2510	188.0210	0.050000	0.050000	0.1533	0.1143	3.66000	1.87763e-05	100000.000	1.78237
foilsf01R01_08	50.0000	250.0000	0.050000	0.050000	0.4300	0.0860	3.46000	1.99472e-05	100000.000	1.46528
foilsf01R01_06	250.0000	250.0000	0.852882	0.596842	0.0860	0.0860	0.83600	1.15613e-06	100000.000	0.72039
foilsf01R01_07	250.0000	163.6629	0.832154	0.588407	0.0860	0.1314	0.99000	1.44601e-06	100000.000	0.84540
foilsf01R01_09	149.1667	250.0000	0.050000	0.324149	0.1441	0.0860	2.72000	1.00847e-05	100000.000	1.71153
foilsf01R02_00	132.0005	98.1587	0.050000	0.208967	0.1629	0.2190	3.82000	1.92492e-05	100000.000	1.89508
foilsf01R02_01	159.8481	136.3697	0.137136	0.315120	0.1345	0.1577	3.31000	1.32723e-05	100000.000	1.98277
foilsf01R02_02	250.0000	250.0000	1.000000	0.050000	0.0860	0.0860	0.84900	1.37649e-06	100000.000	0.71135
foilsf01R02_06	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.58500	7.40360e-07	100000.000	0.51096
foilsf01R02_03	250.0000	50.0000	1.000000	0.050000	0.0860	0.4300	0.84900	1.63143e-06	100000.000	0.68586
foilsf01R02_05	174.7611	149.3302	0.165206	0.336300	0.1230	0.1440	3.06000	1.17847e-05	100000.000	1.88153
foilsf01R02_09	250.0000	50.0000	1.000000	0.050000	0.0860	0.4300	0.84900	1.60423e-06	100000.000	0.68858
foilsf01R02_07	153.4936	128.9988	0.104111	0.282880	0.1401	0.1667	3.50000	1.55975e-05	100000.000	1.94025
foilsf01R02_08	250.0000	50.0000	1.000000	0.050000	0.0860	0.4300	0.85000	1.62327e-06	100000.000	0.68767
foilsf01R02_04	155.5358	119.4009	0.050000	0.273248	0.1382	0.1801	3.67000	1.80870e-05	100000.000	1.86130
foilsf01R03_01	121.3830	133.1013	0.050000	0.157303	0.1771	0.1615	3.82000	1.93791e-05	100000.000	1.88209
foilsf01R03_00	137.6166	164.0579	0.167687	0.316051	0.1562	0.1311	3.12000	1.19253e-05	100000.000	1.92747
foilsf01R03_04	250.0000	250.0000	1.000000	0.495168	0.0860	0.0860	0.73300	8.94718e-07	100000.000	0.64353
foilsf01R03_02	126.7357	156.1032	0.050000	0.270778	0.1696	0.1377	3.50000	1.70552e-05	100000.000	1.79448
foilsf01R03_05	250.0000	250.0000	0.339134	0.367407	0.0860	0.0860	1.84000	3.59165e-06	100000.000	1.48083
foilsf01R03_06	132.7996	163.6353	0.227380	0.427372	0.1619	0.1314	2.80000	1.21651e-05	100000.000	1.58349
foilsf01R03_03	250.0000	50.0000	1.000000	0.567391	0.0860	0.4300	0.86100	1.61858e-06	100000.000	0.69914
foilsf01R03_07	250.0000	250.0000	0.115882	1.000000	0.0860	0.0860	1.57000	3.64084e-06	100000.000	1.20592
foilsf01R03_09	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.58700	8.09292e-07	100000.000	0.50607
foilsf01R03_08	101.4140	118.3005	0.050000	1.000000	0.2120	0.1817	2.80000	1.96838e-05	100000.000	0.83162
foilsf01R04_00	158.9407	156.7002	0.177268	0.216625	0.1353	0.1372	3.19000	1.23706e-05	100000.000	1.95294
foilsf01R04_01	250.0000	250.0000	0.277208	0.388027	0.0860	0.0860	1.98000	4.32021e-06	100000.000	1.54798
