config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsf06R04_00	169.4596	112.4093	0.114947	0.191661	0.1269	0.1913	3.57000	1.63898e-05	100000.000	1.93102
foilsf06R04_02	161.7768	50.0000	0.671440	0.010000	0.1329	0.4300	1.73000	8.23140e-06	100000.000	0.90686
foilsf06R04_08	250.0000	250.0000	1.000000	0.824410	0.0860	0.0860	0.62800	8.43591e-07	100000.000	0.54364
foilsf06R04_07	239.9721	226.2913	0.233746	0.395795	0.0896	0.0950	2.19000	5.15368e-06	100000.000	1.67463
foilsf06R04_03	180.9979	50.0000	0.740721	0.010000	0.1188	0.4300	1.50000	6.09389e-06	100000.000	0.89061
foilsf06R04_09	250.0000	243.9779	0.307169	0.511586	0.0860	0.0881	1.78000	3.01051e-06	100000.000	1.47895
foilsf06R04_06	250.0000	235.9678	0.383951	0.585054	0.0860	0.0911	1.57000	2.13454e-06	100000.000	1.35655
foilsf06R04_05	250.0000	244.0407	0.591029	0.692960	0.0860	0.0881	1.12000	1.54658e-06	100000.000	0.96534
foilsf06R04_04	101.9938	107.2532	0.063771	0.140982	0.2108	0.2005	3.88000	2.12512e-05	100000.000	1.75488
foilsf07R00_01	250.0000	250.0000	0.364214	1.000000	0.0860	0.0860	1.24000	2.00672e-06	100000.000	1.03933
foilsf07R00_00	111.5470	114.4895	0.060006	0.131570	0.1927	0.1878	3.88000	2.14941e-05	100000.000	1.73059
foilsf07R00_02	217.0826	199.2721	0.171318	0.310580	0.0990	0.1079	2.67000	8.22699e-06	100000.000	1.84730
foilsf07R00_07	250.0000	242.9189	1.000000	0.332835	0.0860	0.0885	0.79100	1.28459e-06	100000.000	0.66254
foilsf07R00_03	202.7068	182.7334	0.131084	0.238404	0.1061	0.1177	3.05000	1.04682e-05	100000.000	2.00318
foilsf07R00_04	177.7389	50.0000	0.115144	0.302071	0.1210	0.4300	3.35000	1.66801e-05	100000.000	1.68199
foilsf07R00_05	211.2195	192.2358	0.161755	0.305106	0.1018	0.1118	2.76000	8.32113e-06	100000.000	1.92789
foilsf07R00_06	135.2635	134.7971	0.090847	0.162909	0.1589	0.1595	3.74000	1.69996e-05	100000.000	2.04004
foilsf07R00_08	250.0000	234.6465	0.297652	0.497599	0.0860	0.0916	1.85000	3.44718e-06	100000.000	1.50528
foilsf07R00_09	250.0000	231.3180	0.261070	0.459241	0.0860	0.0929	1.99000	4.10840e-06	100000.000	1.57916
foilsf07R01_01	212.0464	193.6795	0.151921	0.279355	0.1014	0.1110	2.83000	8.89501e-06	100000.000	1.94050
foilsf07R01_04	125.5665	151.2065	0.111864	0.183700	0.1712	0.1422	3.61000	1.63657e-05	100000.000	1.97343
foilsf07R01_00	211.5215	169.6495	0.139015	0.309406	0.1016	0.1267	2.95000	9.72686e-06	100000.000	1.97731
foilsf07R01_02	125.6800	132.4797	0.068724	0.142185	0.1711	0.1623	3.83000	1.83417e-05	100000.000	1.99583
foilsf07R01_03	158.7157	159.0073	0.106602	0.180188	0.1355	0.1352	3.47000	1.41048e-05	100000.000	2.05952
foilsf07R01_06	184.1645	176.3871	0.096426	0.170312	0.1167	0.1219	3.36000	1.28074e-05	100000.000	2.07926
foilsf07R01_05	197.3303	202.2989	0.110295	0.176139	0.1090	0.1063	3.15000	1.18486e-05	100000.000	1.96514
foilsf07R01_07	250.0000	93.3930	0.692623	0.399317	0.0860	0.2302	1.30000	3.28489e-06	100000.000	0.97151
foilsf07R01_08	151.3405	148.2901	0.104354	0.178163	0.1421	0.1450	3.57000	1.55297e-05	100000.000	2.01703
foilsf07R01_09	142.6352	137.3867	0.094181	0.169899	0.1507	0.1565	3.69000	1.63989e-05	100000.000	2.05011
foilsf07R02_00	200.1277	179.1250	0.103393	0.212014	0.1074	0.1200	3.21000	1.23963e-05	100000.000	1.97037
foilsf07R02_04	250.0000	250.0000	0.431490	0.622876	0.0860	0.0860	1.41000	2.06573e-06	100000.000	1.20343
foilsf07R02_03	250.0000	250.0000	0.010000	0.010000	0.0860	0.0860	3.28000	2.28409e-05	100000.000	0.99591
foilsf07R02_02	199.9031	172.4417	0.097973	0.198844	0.1076	0.1247	3.29000	1.31285e-05	100000.000	1.97715
foilsf07R02_01	220.0186	205.0292	0.198794	0.352241	0.0977	0.1049	2.49000	6.69760e-06	100000.000	1.82024
foilsf07R02_07	250.0000	190.5372	0.017723	0.111060	0.0860	0.1128	3.46000	1.71530e-05	100000.000	1.74470
foilsf07R02_05	158.6467	50.0000	0.016242	0.658173	0.1355	0.4300	3.32000	2.14912e-05	100000.000	1.17088
foilsf07R02_06	210.1125	194.2722	0.125305	0.242030	0.1023	0.1107	2.97000	1.01997e-05	100000.000	1.95003
foilsf07R02_08	244.7117	232.1558	0.240445	0.401842	0.0879	0.0926	2.13000	4.48637e-06	100000.000	1.68136
foilsf07R02_09	250.0000	250.0000	0.384120	0.600337	0.0860	0.0860	1.51000	2.32881e-06	100000.000	1.27712
foilsf07R03_00	250.0000	250.0000	0.619317	0.762769	0.0860	0.0860	1.03000	1.30399e-06	100000.000	0.89960
foilsf07R03_02	250.0000	214.8032	1.000000	0.330108	0.0860	0.1001	0.81100	1.25260e-06	100000.000	0.68574
foilsf07R03_01	208.8376	185.8467	0.145657	0.277654	0.1030	0.1157	2.90000	9.08206e-06	100000.000	1.99179
foilsf07R03_03	201.8063	180.1444	0.142194	0.258363	0.1065	0.1193	2.99000	1.02893e-05	100000.000	1.96107
foilsf07R03_04	231.2508	222.6816	0.231336	0.388461	0.0930	0.0966	2.24000	5.07394e-06	100000.000	1.73261
foilsf07R03_05	250.0000	250.0000	0.677117	1.000000	0.0860	0.0860	0.85800	1.16313e-06	100000.000	0.74169
foilsf07R03_06	204.8397	176.2485	0.134404	0.260585	0.1050	0.1220	3.02000	1.05065e-05	100000.000	1.96935
foilsf07R03_07	247.4431	225.0795	0.265609	0.430192	0.0869	0.0955	2.05000	4.67809e-06	100000.000	1.58219
foilsf07R03_08	249.7797	246.0858	0.592958	0.855126	0.0861	0.0874	1.03000	1.02253e-06	100000.000	0.92775
foilsf07R03_09	250.0000	248.4382	0.502968	0.644632	0.0860	0.0865	1.27000	1.78944e-06	100000.000	1.09106
foilsf07R04_01	179.0244	170.3966	0.115590	0.197441	0.1201	0.1262	3.30000	1.30931e-05	100000.000	1.99069
foilsf07R04_00	50.0000	250.0000	0.415583	0.442873	0.4300	0.0860	2.35000	9.14629e-06	100000.000	1.43537
foilsf07R04_02	250.0000	250.0000	0.521034	0.767872	0.0860	0.0860	1.16000	1.57731e-06	100000.000	1.00227
foilsf07R04_04	227.8368	228.0339	0.192366	0.347886	0.0944	0.0943	2.39000	5.97335e-06	100000.000	1.79267
foilsf07R04_03	250.0000	247.3422	0.656929	0.833931	0.0860	0.0869	0.95400	1.20680e-06	100000.000	0.83332
foilsf07R04_06	240.8630	229.3031	0.469310	0.781004	0.0893	0.0938	1.30000	2.14527e-06	100000.000	1.08547
foilsf07R04_05	179.8156	147.2729	0.106790	0.211607	0.1196	0.1460	3.44000	1.37965e-05	100000.000	2.06035
foilsf07R04_07	244.6749	226.9300	0.335424	0.685069	0.0879	0.0947	1.63000	3.08038e-06	100000.000	1.32196
foilsf07R04_09	159.4561	188.8557	0.148042	0.189046	0.1348	0.1138	3.18000	1.18231e-05	100000.000	1.99769
foilsf07R04_08	250.0000	222.5790	0.529478	0.755668	0.0860	0.0966	1.22000	1.77274e-06	100000.000	1.04273
foilsf08R00_00	108.4919	114.1127	0.059637	0.138427	0.1982	0.1884	3.89000	0.00000e+00	100000.000	3.89000
foilsf08R00_01	109.6946	111.9068	0.062424	0.136612	0.1960	0.1921	3.88000	0.00000e+00	100000.000	3.88000
foilsf08R00_02	92.2835	102.7797	0.131502	0.184280	0.2330	0.2092	3.75000	0.00000e+00	100000.000	3.75000
foilsf08R00_03	111.3635	111.3552	0.057246	0.136845	0.1931	0.1931	3.88000	0.00000e+00	100000.000	3.88000
foilsf08R00_04	107.0445	114.9819	0.060331	0.141060	0.2009	0.1870	3.87000	0.00000e+00	100000.000	3.87000
foilsf08R00_05	100.4611	110.9483	0.059272	0.154875	0.2140	0.1938	3.86000	0.00000e+00	100000.000	3.86000
foilsf08R00_06	107.5819	111.6465	0.060445	0.135027	0.1998	0.1926	3.89000	0.00000e+00	100000.000	3.89000
foilsf08R00_07	108.2654	110.1207	0.060918	0.141698	0.1986	0.1952	3.89000	0.00000e+00	100000.000	3.89000
foilsf08R00_08	112.0235	115.3444	0.055691	0.128372	0.1919	0.1864	3.89000	0.00000e+00	100000.000	3.89000
foilsf08R00_09	103.7234	126.6979	0.054343	0.126067	0.2073	0.1697	3.87000	0.00000e+00	100000.000	3.87000
foilsf09R00_00	111.7906	114.8520	0.054981	0.132664	0.1923	0.1872	3.90000	0.00000e+00	100000.000	3.90000
foilsf09R00_01	108.9462	115.8917	0.053140	0.135928	0.1973	0.1855	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R00_02	111.8109	115.2720	0.054491	0.128912	0.1923	0.1865	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R00_04	109.4416	112.2668	0.062091	0.137106	0.1965	0.1915	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R00_03	119.1608	110.2695	0.037924	0.141860	0.1804	0.1950	3.87000	0.00000e+00	100000.000	3.87000
foilsf09R00_07	108.2908	116.0941	0.062399	0.124141	0.1985	0.1852	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R00_05	113.4604	113.7677	0.051227	0.132916	0.1895	0.1890	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R00_09	110.1374	114.8677	0.065304	0.127574	0.1952	0.1872	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R00_06	118.3134	106.0217	0.057646	0.128882	0.1817	0.2028	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R00_08	110.7892	116.8990	0.048587	0.137436	0.1941	0.1839	3.87000	0.00000e+00	100000.000	3.87000
foilsf09R01_00	112.0972	109.3956	0.061900	0.137735	0.1918	0.1965	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R01_02	110.6078	113.0058	0.055757	0.147227	0.1944	0.1903	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R01_05	110.0546	115.3319	0.061116	0.128935	0.1954	0.1864	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R01_03	114.3690	112.1087	0.053928	0.132209	0.1880	0.1918	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R01_01	112.2202	111.3749	0.058805	0.137788	0.1916	0.1930	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R01_04	111.6642	117.3488	0.045563	0.126589	0.1925	0.1832	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R01_09	102.4471	123.1427	0.053839	0.119266	0.2099	0.1746	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R01_06	108.9525	116.4197	0.057963	0.134440	0.1973	0.1847	3.89000	0.00000e+00	100000.000	3.89000
foilsf09R01_08	106.7622	112.3896	0.066548	0.136897	0.2014	0.1913	3.88000	0.00000e+00	100000.000	3.88000
foilsf09R01_07	114.7411	113.8037	0.037506	0.136289	0.1874	0.1889	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R00_00	107.6606	105.8530	0.059003	0.141480	0.1997	0.2031	3.89000	0.00000e+00	100000.000	3.89000
foilsf10R00_01	103.3237	119.4818	0.011510	0.465185	0.2081	0.1799	3.34000	0.00000e+00	100000.000	3.34000
foilsf10R00_02	100.4764	111.2827	0.053076	0.147982	0.2140	0.1932	3.87000	0.00000e+00	100000.000	3.87000
foilsf10R00_04	93.9006	104.0925	0.067299	0.142491	0.2290	0.2065	3.87000	0.00000e+00	100000.000	3.87000
foilsf10R00_03	107.0506	55.4030	0.055711	0.194440	0.2008	0.3881	3.66000	0.00000e+00	100000.000	3.66000
foilsf10R00_05	106.0537	113.8546	0.056247	0.146982	0.2027	0.1888	3.87000	0.00000e+00	100000.000	3.87000
foilsf10R00_06	111.2255	106.2440	0.067807	0.132050	0.1933	0.2024	3.89000	0.00000e+00	100000.000	3.89000
foilsf10R00_07	103.5876	119.5580	0.010000	0.461893	0.2076	0.1798	3.33000	0.00000e+00	100000.000	3.33000
foilsf10R00_09	106.7107	107.4632	0.053940	0.141559	0.2015	0.2001	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R00_08	107.9953	104.2572	0.064044	0.139421	0.1991	0.2062	3.86000	0.00000e+00	100000.000	3.86000
foilsf10R01_00	110.4597	113.7695	0.056224	0.123585	0.1946	0.1890	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_01	105.2675	115.7361	0.055025	0.125658	0.2042	0.1858	3.87000	0.00000e+00	100000.000	3.87000
foilsf10R01_03	111.1023	112.2654	0.060852	0.128060	0.1935	0.1915	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_02	109.9944	112.7216	0.060459	0.123001	0.1955	0.1907	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_04	110.5193	115.9440	0.060663	0.129482	0.1945	0.1854	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_05	108.8991	110.5852	0.058548	0.127009	0.1974	0.1944	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_06	115.0925	113.4316	0.047420	0.116003	0.1868	0.1895	3.86000	0.00000e+00	100000.000	3.86000
foilsf10R01_07	108.1614	102.9909	0.053627	0.102317	0.1988	0.2088	3.87000	0.00000e+00	100000.000	3.87000
foilsf10R01_08	114.8593	115.6886	0.042614	0.129976	0.1872	0.1858	3.88000	0.00000e+00	100000.000	3.88000
foilsf10R01_09	118.7846	122.5259	0.047556	0.118560	0.1810	0.1755	3.90000	0.00000e+00	100000.000	3.90000
foilsf11R00_00	250.0000	250.0000	1.000000	0.375361	0.5943	0.2857	1.99000	6.06142e-06	100000.000	1.38386
foilsf11R00_01	250.0000	218.9900	0.699345	0.108169	0.6351	0.2103	2.78000	1.22031e-05	100000.000	1.55969
foilsf11R00_02	250.0000	250.0000	1.000000	0.825984	0.4507	0.7057	1.37000	1.07981e-05	100000.000	0.29019
foilsf11R00_05	250.0000	50.0000	1.000000	1.000000	0.9500	0.0000	2.83000	2.39366e-05	100000.000	0.43634
foilsf11R00_03	250.0000	250.0000	1.000000	1.000000	0.8737	0.0000	1.47000	4.00759e-06	100000.000	1.06924
foilsf11R00_06	250.0000	250.0000	0.317874	0.010000	0.6519	0.3154	2.69000	2.05289e-05	100000.000	0.63711
foilsf11R00_04	250.0000	222.8262	0.625758	0.232762	0.6207	0.8769	2.41000	1.81372e-05	100000.000	0.59628
foilsf11R00_07	250.0000	250.0000	1.000000	0.024479	0.6032	0.0000	2.84000	1.56085e-05	100000.000	1.27915
foilsf11R00_08	250.0000	250.0000	1.000000	1.000000	0.0000	0.9500	0.79300	1.38145e-06	100000.000	0.65485
foilsf11R00_09	250.0000	50.0000	1.000000	1.000000	0.8115	0.9500	2.78000	2.16186e-05	100000.000	0.61814
foilsf11R01_00	50.0000	250.0000	0.804296	0.010000	0.9500	0.0000	3.22000	2.28732e-05	100000.000	0.93268
foilsf11R01_02	50.0000	50.0000	0.010000	1.000000	0.0000	0.9500	3.23000	2.40296e-05	100000.000	0.82704
foilsf11R01_04	50.0000	250.0000	0.010000	0.010000	0.9500	0.0000	3.27000	2.31262e-05	100000.000	0.95738
foilsf11R01_01	50.0000	245.1163	0.069183	0.069770	0.0000	0.7969	3.20000	2.37223e-05	100000.000	0.82777
foilsf11R01_03	250.0000	250.0000	1.000000	0.010000	0.9500	0.3713	2.96000	2.26027e-05	100000.000	0.69973
foilsf11R01_06	250.0000	250.0000	1.000000	1.000000	0.0000	0.2466	0.57900	7.30382e-07	100000.000	0.50596
foilsf11R01_05	50.0000	109.9428	0.094823	0.186025	0.0000	0.0000	3.81000	2.31119e-05	100000.000	1.49881
foilsf11R01_09	50.0000	50.0000	0.010000	1.000000	0.9500	0.9500	3.22000	2.37565e-05	100000.000	0.84435
foilsf11R01_07	50.0000	250.0000	0.010000	0.010000	0.9500	0.9500	3.12000	2.43049e-05	100000.000	0.68951
foilsf11R01_08	50.0000	250.0000	0.683512	0.010000	0.9500	0.5608	3.08000	2.32007e-05	100000.000	0.75993
foilsf12R00_01	50.0000	50.0000	0.525298	0.715158	0.9500	0.9500	3.19000	0.00000e+00	100000.000	3.19000
foilsf12R00_02	50.0000	50.0000	0.484147	0.659559	0.9500	0.4333	3.21000	0.00000e+00	100000.000	3.21000
foilsf12R00_04	50.0000	50.0000	0.369273	0.311426	0.9500	0.9500	3.19000	0.00000e+00	100000.000	3.19000
foilsf12R00_03	50.0000	50.0000	0.469460	0.866743	0.9500	0.8237	3.21000	0.00000e+00	100000.000	3.21000
foilsf12R00_00	50.0000	50.0000	0.590150	0.299491	0.9500	0.0000	3.38000	0.00000e+00	100000.000	3.38000
foilsf12R00_05	50.0000	59.6101	0.295451	0.284530	0.7656	0.9500	3.18000	0.00000e+00	100000.000	3.18000
foilsf12R00_07	50.0000	50.0000	0.635741	0.345223	0.9500	0.8043	3.22000	0.00000e+00	100000.000	3.22000
foilsf12R00_06	50.0000	50.0000	0.466351	0.619873	0.9389	0.6543	3.22000	0.00000e+00	100000.000	3.22000
foilsf12R00_08	50.0000	50.0000	0.389221	0.672630	0.9500	0.0000	3.15000	0.00000e+00	100000.000	3.15000
foilsf12R00_09	174.9523	50.0000	0.010000	0.689100	0.9500	0.0000	3.16000	0.00000e+00	100000.000	3.16000
foilsf12R01_00	50.0000	105.9013	0.076220	0.140719	0.1388	0.1000	3.82000	0.00000e+00	100000.000	3.82000
foilsf12R01_02	139.4519	66.4378	0.046424	0.206827	0.1951	0.0000	3.72000	0.00000e+00	100000.000	3.72000
foilsf12R01_01	51.6702	86.6607	0.079974	0.167991	0.1507	0.0000	3.74000	0.00000e+00	100000.000	3.74000
foilsf12R01_03	88.6478	99.6054	0.064258	0.146771	0.1560	0.0000	3.85000	0.00000e+00	100000.000	3.85000
foilsf12R01_04	50.0000	50.0000	0.089016	0.242701	0.1436	0.0000	3.50000	0.00000e+00	100000.000	3.50000
foilsf12R01_05	50.0000	114.9134	0.075095	0.133937	0.1251	0.2160	3.81000	0.00000e+00	100000.000	3.81000
foilsf12R01_06	50.0000	50.0000	0.063234	0.337504	0.0271	0.0000	3.44000	0.00000e+00	100000.000	3.44000
foilsf12R01_07	75.8671	50.0000	0.053057	0.217623	0.1407	0.0000	3.57000	0.00000e+00	100000.000	3.57000
foilsf12R01_08	50.0000	123.1983	0.077981	0.114949	0.1093	0.1811	3.82000	0.00000e+00	100000.000	3.82000
foilsf12R01_09	50.0000	211.2177	0.017180	0.010000	0.0000	0.0000	3.32000	0.00000e+00	100000.000	3.32000
foilsf14R00_02	250.0000	50.0000	0.010000	1.000000	0.6668	0.0000	3.00000	2.42717e-05	100000.000	0.57283
foilsf14R00_00	50.0000	56.2411	0.015413	1.000000	0.8060	0.0000	3.01000	2.29037e-05	100000.000	0.71963
foilsf14R00_01	250.0000	250.0000	0.010000	1.000000	0.9500	0.0000	1.65000	5.45261e-06	100000.000	1.10474
foilsf14R00_04	250.0000	95.6677	0.269135	1.000000	0.6729	0.0000	2.49000	2.02399e-05	100000.000	0.46601
foilsf14R00_03	183.1476	175.0706	0.135458	1.000000	0.7372	0.0000	2.02000	8.97962e-06	100000.000	1.12204
foilsf14R00_06	55.1125	104.7799	0.083833	0.154562	0.1511	0.0842	3.83000	2.34052e-05	100000.000	1.48948
foilsf14R00_05	250.0000	210.3725	0.432410	1.000000	0.6605	0.0000	1.66000	3.91609e-06	100000.000	1.26839
foilsf14R00_07	50.0000	250.0000	0.010000	1.000000	0.9500	0.0000	1.66000	5.24444e-06	100000.000	1.13556
foilsf14R00_08	250.0000	162.5257	0.050788	0.250268	0.0000	0.9500	3.08000	1.83579e-05	100000.000	1.24421
foilsf14R00_09	50.0000	50.0000	0.456717	1.000000	0.9500	0.0000	3.03000	2.25947e-05	100000.000	0.77053
foilsf14R01_00	250.0000	50.0000	0.010000	1.000000	0.9500	0.9500	3.20000	2.39124e-05	100000.000	0.80876
foilsf14R01_02	250.0000	50.0000	0.010000	0.421155	0.9500	0.9500	3.21000	2.42655e-05	100000.000	0.78345
foilsf14R01_01	50.0000	250.0000	0.702434	1.000000	0.9500	0.0000	1.65000	5.47216e-06	100000.000	1.10278
foilsf14R01_04	175.6883	181.7699	0.107522	0.199020	0.0000	0.3526	3.18000	1.27281e-05	100000.000	1.90719
foilsf14R01_03	250.0000	134.0278	1.000000	1.000000	0.0000	0.6858	0.76500	1.56002e-06	100000.000	0.60900
foilsf14R01_06	250.0000	50.0000	0.010000	1.000000	0.5596	0.9500	3.15000	2.46373e-05	100000.000	0.68627
foilsf14R01_05	250.0000	250.0000	1.000000	1.000000	0.0000	0.0000	0.55500	7.26674e-07	100000.000	0.48233
foilsf14R01_07	50.0000	50.0000	1.000000	1.000000	0.9500	0.9500	3.11000	2.43306e-05	100000.000	0.67694
foilsf14R01_09	250.0000	250.0000	1.000000	0.406857	0.0000	0.5627	0.74000	1.10475e-06	100000.000	0.62953
foilsf14R01_08	250.0000	50.0000	0.010000	0.010000	0.9500	0.9500	3.12000	2.44401e-05	100000.000	0.67599
foilsf17R00_00	197.1157	156.5709	0.084942	0.208290	0.0000	0.0000	3.44000	1.39070e-05	100000.000	2.04930
foilsf17R00_01	250.0000	250.0000	0.635376	0.594854	0.4967	0.0000	1.87000	2.93707e-06	100000.000	1.57629
foilsf17R00_02	232.6932	213.3166	0.190727	0.375473	0.0000	0.0000	2.41000	6.05230e-06	100000.000	1.80477
foilsf17R00_04	250.0000	250.0000	0.647347	0.526057	0.5921	0.0000	2.02000	4.08166e-06	100000.000	1.61183
foilsf17R00_06	250.0000	250.0000	0.850843	0.681762	0.0000	0.2024	0.77700	7.36118e-07	100000.000	0.70339
foilsf17R00_03	210.9122	190.4936	0.140133	0.286554	0.0000	0.0000	2.88000	9.04756e-06	100000.000	1.97524
foilsf17R00_05	250.0000	245.8829	0.389674	0.612891	0.0000	0.0000	1.48000	2.26236e-06	100000.000	1.25376
foilsf17R00_09	250.0000	146.7305	1.000000	0.010000	0.4333	0.4021	2.55000	9.74851e-06	100000.000	1.57515
foilsf17R00_07	203.7278	175.8636	0.112584	0.247401	0.0000	0.0000	3.15000	1.17283e-05	100000.000	1.97717
foilsf17R00_08	50.0000	50.0000	0.582679	0.010000	0.9500	0.9500	3.12000	2.31604e-05	100000.000	0.80396
foilsf17R01_00	250.0000	243.6632	0.564312	0.553285	0.4922	0.0242	1.99000	3.18579e-06	100000.000	1.67142
foilsf17R01_01	250.0000	50.0000	1.000000	0.010000	0.9500	0.9500	2.92000	2.42723e-05	100000.000	0.49277
foilsf17R01_02	50.0000	50.0000	0.151463	0.224026	0.0000	0.5961	3.40000	2.30070e-05	100000.000	1.09930
foilsf17R01_04	50.0000	50.0000	0.171369	0.134682	0.0000	0.9500	3.28000	2.27386e-05	100000.000	1.00614
foilsf17R01_06	250.0000	250.0000	0.673962	0.932267	0.4751	0.0000	1.42000	1.43874e-06	100000.000	1.27613
foilsf17R01_03	250.0000	250.0000	0.612829	0.750457	0.4789	0.0000	1.64000	1.98116e-06	100000.000	1.44188
foilsf17R01_07	112.4760	109.9162	0.063100	0.144736	0.1778	0.0000	3.91000	2.07719e-05	100000.000	1.83281
foilsf17R01_05	250.0000	50.0000	0.740764	0.010000	0.9500	0.9500	2.96000	2.38157e-05	100000.000	0.57843
foilsf17R01_08	250.0000	250.0000	0.699416	0.669332	0.0000	0.2745	0.95800	1.23982e-06	100000.000	0.83402
foilsf17R01_09	250.0000	250.0000	0.203733	1.000000	0.0000	0.9500	2.28000	1.16569e-05	100000.000	1.11431
foilsf18R00_00	250.0000	212.0569	0.575847	0.518696	0.4580	0.0121	2.16000	3.74503e-06	100000.000	1.78550
foilsf18R00_02	250.0000	218.4672	0.251361	0.438933	0.3322	0.0000	2.36000	5.34625e-06	100000.000	1.82538
foilsf18R00_03	250.0000	178.0939	0.632830	0.485774	0.4674	0.0308	2.39000	3.75101e-06	100000.000	2.01490
foilsf18R00_04	224.4884	213.4286	0.186172	0.356407	0.3209	0.0000	2.63000	6.90727e-06	100000.000	1.93927
foilsf18R00_05	205.3208	190.8764	0.137050	0.289683	0.3056	0.0000	2.98000	9.36897e-06	100000.000	2.04310
foilsf18R00_01	250.0000	250.0000	0.580297	0.648409	0.4515	0.0075	1.78000	2.79599e-06	100000.000	1.50040
foilsf18R00_08	50.0000	250.0000	0.016193	0.010000	0.4463	0.9500	3.17000	2.36818e-05	100000.000	0.80182
foilsf18R00_07	250.0000	250.0000	0.681044	1.000000	0.3980	0.0000	1.30000	1.16313e-06	100000.000	1.18369
foilsf18R00_06	250.0000	250.0000	0.507837	0.443583	0.4513	0.0000	2.12000	3.85377e-06	100000.000	1.73462
foilsf18R00_09	171.7369	175.6872	0.101580	0.220527	0.2842	0.0000	3.32000	1.31140e-05	100000.000	2.00860
foilsf18R01_00	250.0000	135.5903	0.701545	0.406523	0.4949	0.0000	2.81000	8.78161e-06	100000.000	1.93184
foilsf18R01_01	250.0000	118.6530	0.713558	0.337433	0.5359	0.0000	3.05000	1.38849e-05	100000.000	1.66151
foilsf18R01_03	250.0000	146.8744	0.701431	0.460973	0.4708	0.0000	2.61000	6.56039e-06	100000.000	1.95396
foilsf18R01_05	250.0000	250.0000	0.807566	1.000000	0.3708	0.0000	1.23000	1.24505e-06	100000.000	1.10549
foilsf18R01_04	250.0000	187.1806	0.767516	0.922360	0.4624	0.0000	1.74000	1.84624e-06	100000.000	1.55538
foilsf18R01_06	250.0000	105.8062	0.742172	0.268965	0.5716	0.0000	3.16000	1.48946e-05	100000.000	1.67054
foilsf18R01_07	237.5714	96.4615	0.113122	0.277022	0.3414	0.0000	3.44000	1.64075e-05	100000.000	1.79925
foilsf18R01_08	250.0000	180.7422	0.745528	0.775403	0.4520	0.0000	1.93000	2.19845e-06	100000.000	1.71016
foilsf18R01_02	250.0000	168.4203	0.739068	0.678501	0.4443	0.0000	2.11000	2.69693e-06	100000.000	1.84031
foilsf18R01_09	250.0000	157.7234	0.734125	0.574374	0.4493	0.0000	2.32000	3.59573e-06	100000.000	1.96043
foilsf19R00_01	250.0000	50.0000	0.326887	0.170571	0.9500	0.0000	3.29000	0.00000e+00	100000.000	3.29000
foilsf19R00_02	118.6253	98.4206	0.072392	0.136834	0.2076	0.0000	3.89000	0.00000e+00	100000.000	3.89000
foilsf19R00_04	250.0000	54.5667	0.404931	0.169436	0.9500	0.0595	3.32000	0.00000e+00	100000.000	3.32000
foilsf19R00_03	250.0000	50.0000	0.509577	0.369006	0.9500	0.0000	3.20000	0.00000e+00	100000.000	3.20000
foilsf19R00_05	135.3689	50.0000	0.209510	0.010000	0.9500	0.0000	3.16000	0.00000e+00	100000.000	3.16000
foilsf19R00_07	226.1945	50.0000	0.520260	0.326717	0.8148	0.0000	3.01000	0.00000e+00	100000.000	3.01000
foilsf19R00_06	130.6925	62.2309	0.794589	0.405200	0.8230	0.0000	3.24000	0.00000e+00	100000.000	3.24000
foilsf19R00_08	105.2201	52.6027	0.708675	0.418703	0.8936	0.0000	3.31000	0.00000e+00	100000.000	3.31000
foilsf19R00_00	103.7010	116.8980	0.061146	0.127623	0.1680	0.0508	3.91000	0.00000e+00	100000.000	3.91000
foilsf19R00_09	167.5368	98.9223	0.344276	0.010000	0.9500	0.0000	3.14000	0.00000e+00	100000.000	3.14000
foilsf19R01_00	114.8013	114.4492	0.057006	0.124289	0.1913	0.0263	3.91000	0.00000e+00	100000.000	3.91000
foilsf19R01_02	138.0328	60.2077	0.770796	0.431855	0.8118	0.0134	3.19000	0.00000e+00	100000.000	3.19000
